flair_trait,long_shot_taker_trait,power_free_kick_trait,skilled_dribbling_trait,speedster_speciality,dribbler_speciality,distance_shooter_speciality,acrobat_speciality,clinical_finisher_speciality,,
chip_shot_trait,finesse_shot_trait,long_shot_taker_trait,one_club_player_trait,playmaker_trait,skilled_dribbling_trait,dribbler_speciality,free_kick_specialist_speciality,acrobat_speciality,clinical_finisher_speciality,
diver_trait,flair_trait,skilled_dribbling_trait,takes_finesse_free_kicks_trait,technical_dribbler_trait,speedster_speciality,dribbler_speciality,acrobat_speciality,,,
diver_trait,technical_dribbler_trait,tries_to_beat_defensive_line_trait,acrobat_speciality,clinical_finisher_speciality,,,,,,
X1_on_1_rush_trait,comes_for_crosses_trait,gk_long_throw_trait,rushes_out_of_goal_trait,,,,,,,
chip_shot_trait,finesse_shot_trait,injury_free_trait,clinical_finisher_speciality,,,,,,,
gk_long_throw_trait,saves_with_feet_trait,,,,,,,,,
finesse_shot_trait,flair_trait,playmaker_trait,technical_dribbler_trait,tries_to_beat_defensive_line_trait,speedster_speciality,dribbler_speciality,acrobat_speciality,,,
corner_specialist_trait,long_passer_trait,long_shot_taker_trait,playmaker_trait,technical_dribbler_trait,playmaker_speciality,distance_shooter_speciality,,,,
outside_foot_shot_trait,clinical_finisher_speciality,,,,,,,,,
dives_into_tackles_trait,leadership_trait,power_header_trait,aerial_threat_speciality,tackling_speciality,tactician_speciality,,,,,
corner_specialist_trait,early_crosser_trait,long_passer_trait,long_shot_taker_trait,playmaker_trait,playmaker_speciality,engine_speciality,crosser_speciality,,,
comes_for_crosses_trait,gk_long_throw_trait,,,,,,,,,
flair_trait,long_shot_taker_trait,technical_dribbler_trait,dribbler_speciality,acrobat_speciality,,,,,,
long_passer_trait,playmaker_trait,technical_dribbler_trait,dribbler_speciality,playmaker_speciality,acrobat_speciality,,,,,
avoids_using_weaker_foot_trait,chip_shot_trait,injury_prone_trait,long_shot_taker_trait,long_throw_in_trait,skilled_dribbling_trait,speedster_speciality,distance_shooter_speciality,crosser_speciality,clinical_finisher_speciality,
flair_trait,technical_dribbler_trait,tries_to_beat_defensive_line_trait,dribbler_speciality,acrobat_speciality,clinical_finisher_speciality,,,,,
avoids_using_weaker_foot_trait,dives_into_tackles_trait,injury_prone_trait,leadership_trait,long_throw_in_trait,power_header_trait,tackling_speciality,tactician_speciality,strength_speciality,,
